driverId,constructorId,circuitId,prevPoints,constructorPosition,gridPosition,q3,podium
1,1,16,6,2,1,78404.0,0
1,131,21,25,1,1,74411.0,1
1,131,75,19,1,2,78355.0,1
1,131,22,25,1,1,87760.0,1
1,1,15,2,1,2,105465.0,1
1,131,17,25,1,2,91570.0,1
1,131,20,15,1,2,85525.0,1
1,131,75,25,1,1,76652.0,1
1,1,17,1,4,9,98595.0,0
1,1,6,18,3,5,74432.0,0
1,1,5,10,1,2,86433.0,1
1,131,3,25,1,1,87264.0,1
1,131,6,25,2,7,71095.0,0
1,131,11,25,1,1,95658.0,1
1,131,13,25,1,1,118179.0,1
1,131,70,26,1,5,62951.0,0
1,131,24,25,1,3,95332.0,1
1,131,24,25,1,1,94794.0,1
1,131,1,25,1,1,80486.0,1
1,131,3,18,1,3,88190.0,1
1,131,14,25,1,1,78887.0,0
1,131,76,7,1,1,75144.0,1
1,131,71,26,1,1,91304.0,1
1,131,73,25,1,2,100554.0,1
1,131,4,18,1,2,76040.0,1
1,131,6,26,1,1,70166.0,1
1,1,13,8,2,1,107338.0,1
1,131,69,25,1,5,92321.0,1
1,131,18,18,1,3,67699.0,0
1,131,24,6,1,1,94779.0,1
1,131,15,16,1,2,96408.0,0
1,1,11,10,2,1,80899.0,0
1,1,12,4,2,2,99199.0,1
1,1,4,4,3,5,82096.0,1
1,1,1,8,1,1,86714.0,1
2,2,7,4,2,8,79633.0,1
2,2,4,5,2,9,82542.0,0
2,2,13,0,3,5,108315.0,1
2,2,9,5,5,9,81329.0,0
2,2,24,3,6,8,102343.0,0
2,2,14,8,3,10,99906.0,0
2,2,15,4,3,9,105964.0,0
2,4,2,0,4,6,96124.0,1
2,2,14,6,5,3,81653.0,0
2,2,1,4,2,3,86556.0,0
2,2,2,5,2,5,96543.0,0
2,2,17,4,2,8,98455.0,0
2,2,13,5,2,6,107409.0,0
2,2,17,1,5,8,106053.0,0
2,2,22,2,5,9,91513.0,0
2,2,1,3,5,8,87579.0,0
2,2,18,2,2,6,73081.0,0
2,4,5,0,4,9,86659.0,0
2,2,3,5,2,5,93404.0,0
2,2,7,5,2,3,76266.0,1
2,2,17,0,3,9,97201.0,0
2,2,8,8,2,7,75900.0,0
2,2,9,4,2,9,80894.0,0
2,2,13,0,7,3,106500.0,0
2,2,1,8,3,5,87236.0,1
2,2,5,0,2,9,88882.0,0
2,2,2,8,2,5,96753.0,0
2,2,3,3,1,6,93737.0,0
2,2,9,8,2,5,81873.0,1
2,2,22,2,8,4,92945.0,0
2,2,11,3,2,2,80259.0,1
2,2,12,0,3,8,100631.0,0
2,2,5,6,2,6,88037.0,0
2,2,14,5,2,4,83174.0,0
2,2,20,3,2,4,91840.0,0
3,131,9,1,4,5,90625.0,1
3,131,14,8,4,7,83027.0,0
3,3,15,1,8,8,106611.0,1
3,3,2,3,5,4,95750.0,0
3,131,6,25,1,2,73791.0,0
3,131,10,18,1,1,74363.0,0
3,131,13,12,1,1,106744.0,1
3,131,18,18,1,2,70838.0,1
3,131,24,18,1,2,99058.0,1
3,131,13,4,1,2,107655.0,1
3,131,18,25,1,1,71282.0,1
3,131,32,18,1,1,79480.0,1
3,131,4,15,1,1,84681.0,1
3,131,3,18,1,3,93129.0,1
3,131,1,25,1,2,84197.0,1
3,131,22,12,1,1,92584.0,1
3,131,71,25,1,1,95417.0,1
3,131,3,25,1,2,89570.0,1
